aklivity/zilla	examples/asyncapi.mqtt.proxy/etc/specs/mqtt-asyncapi.yaml	https://github.com/aklivity/zilla/blob/e88ebe9752dc6664234aae73be1e204ab42c211d/examples/asyncapi.mqtt.proxy/etc/specs/mqtt-asyncapi.yaml
opengeospatial/ogcapi-environmental-data-retrieval	extensions/pubsub/standard/examples/yaml/asyncapi.yaml	https://github.com/opengeospatial/ogcapi-environmental-data-retrieval/blob/1f470637d1e45d3f1b8b9d3f39b3e852be0b4ffb/extensions/pubsub/standard/examples/yaml/asyncapi.yaml
EVerest/EVerest	docs/source/reference/EVerest_API/auth_token_provider_API.yaml	https://github.com/EVerest/EVerest/blob/8e89f428380994d9781bc3add69effb4221a1719/docs/source/reference/EVerest_API/auth_token_provider_API.yaml
asyncapi/optimizer	examples/input.yaml	https://github.com/asyncapi/optimizer/blob/ff937d38812bc3b00c4592ee695d94c83b55cbf2/examples/input.yaml
knowmadmood-poc-rhdevhub/backstage	plugins/api-docs/dev/asyncapi-example-api.yaml	https://github.com/knowmadmood-poc-rhdevhub/backstage/blob/8bafb9221fb5214fd71ddde3a8616d4872e50d24/plugins/api-docs/dev/asyncapi-example-api.yaml
lafette21/smart-gardening	api/asyncapi.yaml	https://github.com/lafette21/smart-gardening/blob/b894febfe3fdb44c51032afe106a03aedd340a7a/api/asyncapi.yaml
juvi07/bs-templates	examples/api.yaml	https://github.com/juvi07/bs-templates/blob/5b0e3da519d51ecb3559b7aa5c1afcaf03b08e9b/examples/api.yaml
tanagraspace/ccsds-mo-to-asyncapi	yaml/File-Management/FileTransfer.yaml	https://github.com/tanagraspace/ccsds-mo-to-asyncapi/blob/85d0b9d36a0477b3d6d94f4c27e06d4c90b1cb5b/yaml/File-Management/FileTransfer.yaml
asklokesh/NEXT-Portal	backstage/packages/catalog-model/examples/apis/streetlights-api.yaml	https://github.com/asklokesh/NEXT-Portal/blob/9d899b6c62f2dddcb8fdb06fc80ed4c3c3fda077/backstage/packages/catalog-model/examples/apis/streetlights-api.yaml
CJovan02/iots	analytics/analytics-async-api.yaml	https://github.com/CJovan02/iots/blob/b3f30e9167e4c1f51628949be91ecb4b58bc6dd0/analytics/analytics-async-api.yaml
nba-amtgroup/4424rr-2	src/mqtt/warehouse_data_structure.yaml	https://github.com/nba-amtgroup/4424rr-2/blob/7e7ca283f738821d5e566a0d070265f200cf9582/src/mqtt/warehouse_data_structure.yaml
ODS-IS-UASL/asset	docs/ポート離着陸準備指示API及びポート離着陸準備受付・準備完了通知API.yaml	https://github.com/ODS-IS-UASL/asset/blob/60a060c8b560f851edee17658fa0de1dcd1dbda4/docs/%E3%83%9D%E3%83%BC%E3%83%88%E9%9B%A2%E7%9D%80%E9%99%B8%E6%BA%96%E5%82%99%E6%8C%87%E7%A4%BAAPI%E5%8F%8A%E3%81%B3%E3%83%9D%E3%83%BC%E3%83%88%E9%9B%A2%E7%9D%80%E9%99%B8%E6%BA%96%E5%82%99%E5%8F%97%E4%BB%98%E3%83%BB%E6%BA%96%E5%82%99%E5%AE%8C%E4%BA%86%E9%80%9A%E7%9F%A5API.yaml
Pakisan/jasyncapi-idea-plugin-demo	streetlights/mqtt.yaml	https://github.com/Pakisan/jasyncapi-idea-plugin-demo/blob/182188fd9d67a2b5a2bbdad16547cf4833c0d2cc/streetlights/mqtt.yaml
